UNITNO,MAP_SYMBOL,STATE,NAME,AGE,LITH1,LITH2,LITH3
*56,Dne,PENSILVANIA,Northeast Shale,Devonian,Shale,Siltstone,
*55,Dg,PENSILVANIA,Girard Shale,Devonian,Argillaceous shale,Siltstone,
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*1,Qs,PENSILVANIA,Sands of Presque Isle,Quaternary,Sand,,
*28,,PENSILVANIA,,,,,
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*0,,PENSILVANIA,,,,,
*1,Qs,PENSILVANIA,Sands of Presque Isle,Quaternary,Sand,,
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*0,,PENSILVANIA,,,,,
*0,,PENSILVANIA,,,,,
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*55,Dg,PENSILVANIA,Girard Shale,Devonian,Argillaceous shale,Siltstone,
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*68,Dlh,PENSILVANIA,Lock Haven Formation,Devonian,Mudstone,Siltstone,Sandstone; conglomerate
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*42,MDsr,PENSILVANIA,"Shenango Formation through Riceville Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*68,Dlh,PENSILVANIA,Lock Haven Formation,Devonian,Mudstone,Siltstone,Sandstone; conglomerate
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*68,Dlh,PENSILVANIA,Lock Haven Formation,Devonian,Mudstone,Siltstone,Sandstone; conglomerate
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*54,Dch,PENSILVANIA,Chadakoin Formation,Devonian,Siltstone,Sandstone,Shale
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*68,Dlh,PENSILVANIA,Lock Haven Formation,Devonian,Mudstone,Siltstone,Sandstone; conglomerate
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*68,Dlh,PENSILVANIA,Lock Haven Formation,Devonian,Mudstone,Siltstone,Sandstone; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*49,Dbv,PENSILVANIA,"Berea Sandstone through Venango Formation, undivided",Devonian,Sandstone,Siltstone,Shale; conglomerate
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*42,MDsr,PENSILVANIA,"Shenango Formation through Riceville Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*47,Dbr,PENSILVANIA,"Berea Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*50,Dv,PENSILVANIA,Venango Formation,Devonian,Siltstone,Sandstone,Shale; conglomerate
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*47,Dbr,PENSILVANIA,"Berea Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*47,Dbr,PENSILVANIA,"Berea Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*47,Dbr,PENSILVANIA,"Berea Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*42,MDsr,PENSILVANIA,"Shenango Formation through Riceville Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*68,Dlh,PENSILVANIA,Lock Haven Formation,Devonian,Mudstone,Siltstone,Sandstone; conglomerate
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*47,Dbr,PENSILVANIA,"Berea Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*47,Dbr,PENSILVANIA,"Berea Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*38,Msc,PENSILVANIA,"Shenango Formation through Cuyahoga Group, undivided",Mississippian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*68,Dlh,PENSILVANIA,Lock Haven Formation,Devonian,Mudstone,Siltstone,Sandstone; conglomerate
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*47,Dbr,PENSILVANIA,"Berea Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*43,MDso,PENSILVANIA,"Shenango Formation through Oswayo Formation, undivided",Mississippian and Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*68,Dlh,PENSILVANIA,Lock Haven Formation,Devonian,Mudstone,Siltstone,Sandstone; conglomerate
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*45,MDhm,PENSILVANIA,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale
*47,Dbr,PENSILVANIA,"Berea Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*48,Dcr,PENSILVANIA,"Corry Sandstone through Riceville Formation, undivided",Devonian,Sandstone,Siltstone,Shale
*51,Dck,PENSILVANIA,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone
*38,Msc,PENSILVANIA,"Shenango Formation through Cuyahoga Group, undivided",Mississippian,Sandstone,Siltstone,Shale
